da_key,en,uk,ar,fa,ur,pl,de
"Administrativ assistent","Administrative assistant","Адміністративний помічник","مساعد إداري","دستیار اداری","انتظامی معاون","Asystent administracyjny","Verwaltungsassistent"
"Administrativt arbejde","Administrative work","Адміністративна робота","عمل إداري","کار اداری","انتظامی کام","Praca administracyjna","Verwaltungsarbeit"
"Administrativt sundhedsarbejde","Administrative healthcare work","Адміністративна охорона здоров'я","عمل إداري في القطاع الصحي","کار اداری در حوزه سلامت","صحت کے شعبے میں انتظامی کام","Prace administracyjne w służbie zdrowia","Verwaltungsarbeit im Gesundheitswesen"
"Aftenskolelærer","Evening school teacher","Вчитель вечірньої школи","مدرس مدرسة مسائية","معلم مدرسه شبانه","ایوننگ سکول ٹیچر","Nauczycielka szkoły wieczorowej","Abendschullehrer"
"Akademisk arbejde","Academic work","Навчальна робота","العمل الأكاديمي","کار دانشگاهی","علمی کام","Praca akademicka","Akademische Arbeit"
"Anlægsarbejde","Civil works","Будівельні роботи","أعمال الهندسة المدنية","کارهای عمرانی","تعمیراتی کام (سول ورکس)","Prace cywilne","Bauarbeiten"
"Anlægsgartner","Landscape gardener","Ландшафтний садівник","بستاني مناظر طبيعية","باغبان فضای سبز","لینڈ سکیپ مالی","Ogrodnik krajobrazowy","Landschaftsgärtner"
"Anlægsgartnerarbejde, produktion","Landscape gardening production work","Садово-паркові виробничі роботи","أعمال إنتاج في تنسيق الحدائق","کار تولیدی در باغبانی و فضای سبز","لینڈ سکیپ گارڈننگ پروڈکشن کا کام","Prace produkcyjne w ogrodnictwie krajobrazowym","Landschaftsgärtnerische Produktionsarbeiten"
"Anlægsstruktør","Civil engineering structure worker","Робітник інженерних споруд","عامل هياكل الهندسة المدنية","کارگر سازه‌های عمرانی","تعمیراتی ڈھانچہ بنانے والا ورکر","Pracownik konstrukcji budowlanych","Bauarbeiter im Tiefbau"
"Arbejdsleder, bygge og anlæg","Construction site supervisor","Керівник будівництва","مشرف موقع بناء","سرپرست کارگاه ساختمانی","سائٹ سپروائزر (تعمیرات)","Kierownik budowy","Bauleiter auf der Baustelle"
