"da_key","en","uk","ar","fa","ur","pl","de"
"Administrativ assistent","Administrative assistant","","مساعد إداري","","","",""
"Administrativt arbejde","Administrative work","","عمل إداري","","","",""
"Administrativt sundhedsarbejde","Administrative healthcare work","","عمل إداري في القطاع الصحي","","","",""
"Aftenskolelærer","Evening school teacher","","مدرس مدرسة مسائية","","","",""
"Akademisk arbejde","Academic work","","العمل الأكاديمي","","","",""
"Anlægsarbejde","Civil works","","أعمال الهندسة المدنية","","","",""
"Anlægsgartner","Landscape gardener","","بستاني مناظر طبيعية","","","",""
"Anlægsgartnerarbejde, produktion","Landscape gardening production work","","أعمال إنتاج في تنسيق الحدائق","","","",""
"Anlægsstruktør","Civil engineering structure worker","","عامل هياكل الهندسة المدنية","","","",""
"Arbejdsleder, bygge og anlæg","Construction site supervisor","","مشرف موقع بناء","","","",""
"Automekaniker","Auto mechanic","","ميكانيكي سيارات","","","",""
"Bartender","Bartender","","ساقي (بارتندر)","","","",""
"Begravelses- og kirkegårdsarbejde","Cemetery and funeral service work","","أعمال المقابر وخدمات الجنازات","","","",""
"Behandling og genoptræning","Treatment and rehabilitation","","العلاج وإعادة التأهيل","","","",""
"Biblioteks- og museumsarbejde","Library and museum work","","أعمال المكتبات والمتاحف","","","",""
"Bil- og varevognschauffør til vareudbringning","Van and delivery driver","","سائق سيارة أو شاحنة توصيل","","","",""
"Bogholderi- og regnskabsarbejde","Bookkeeping and accounting work","","أعمال مسك الدفاتر والمحاسبة","","","",""
"Brolægger","Paver","","رصاف طرق","","","",""
"Budarbejde mv.","Delivery work and related roles","","أعمال التوصيل وما شابهها","","","",""
"Buschauffør","Bus driver","","سائق حافلة","","","",""
"Butiksassistent","Shop assistant","","مساعد متجر","","","",""
"Butiksekspedition","Retail sales work","","مبيعات التجزئة","","","",""
"Butiksmedhjælper","Shop assistant helper","","معاون متجر","","","",""
"Bygge og anlæg","Construction and civil works","","البناء والهندسة المدنية","","","",""
"Byggeleder","Construction manager","","مدير بناء","","","",""
"Bygningsarbejde mv.","Building work and related roles","","أعمال البناء وما شابهها","","","",""
"Bygningsmaler","Building painter","","دهان مباني","","","",""
"Børnepasning","Childcare","","رعاية الأطفال","","","",""
"Børnepasser","Childminder","","جليس أطفال","","","",""
"Cafemedarbejder","Cafe worker","","موظف مقهى","","","",""
"Callcentermedarbejder","Call center worker","","موظف مركز اتصال","","","",""
"Chauffør, fragt, distribution, blandet kørsel","Driver, freight, distribution, mixed driving","","سائق شحن وتوزيع","","","",""
"Chauffør, persontransport","Driver, passenger transport","","سائق نقل ركاب","","","",""
"Chauffør, specialtransport","Driver, special transport","","سائق نقل خاص","","","",""
"Driftsplanlægger","Operations planner","","مخطط عمليات","","","",""
"Ejendomsservice og måleraflæsning","Property services and meter reading","","خدمات العقارات وقراءة العدادات","","","",""
"Ekspedient","Sales clerk","","موظف مبيعات","","","",""
"Elektriker","Electrician","","كهربائي","","","",""
"Elektrikerarbejde","Electrical work","","أعمال كهربائية","","","",""
"Elever","Students and trainees","","طلاب ومتدربون","","","",""
"Elever: Hotel, restauration, køkken, kantine","Trainees: hotel, restaurant, kitchen, and canteen","","متدربون: الفنادق والمطاعم والمطابخ","","","",""
"Elever: Kontor, administration, regnskab og finans","Trainees: office, administration, accounting, and finance","","متدربون: المكتب والإدارة والمحاسبة","","","",""
"Elever: Pædagogisk, socialt og teologisk arbejde","Trainees: pedagogical, social, and theological work","","متدربون: العمل التربوي والاجتماعي واللاهوتي","","","",""
"Elever: Sundhed, omsorg og personlig pleje","Trainees: health, care, and personal support","","متدربون: الصحة والرعاية الشخصية","","","",""
"Ernæringsassistent","Nutrition assistant","","مساعد تغذية","","","",""
"Ernæringsassistentelev","Nutrition assistant trainee","","متدرب مساعد تغذية","","","",""
"Fastfood ekspedient","Fast food counter assistant","","موظف وجبات سريعة","","","",""
"Flyklarerer","Flight dispatcher","","موظف تجهيز طائرات","","","",""
"Flyveleder","Air traffic controller","","مراقب حركة جوية","","","",""
"Folkeskolelærer","Primary and lower secondary school teacher","","مدرس مرحلة أساسية","","","",""
"Forskning og universitetsundervisning, naturvidenskab og teknik","Research and university teaching in natural sciences and engineering","","البحث والتدريس الجامعي في العلوم الطبيعية والهندسة","","","",""
"Forskning og universitetsundervisning, samfundsvidenskab","Research and university teaching in social sciences","","البحث والتدريس الجامعي في العلوم الاجتماعية","","","",""
"Foto- og kameraarbejde","Photography and camera work","","أعمال التصوير والكاميرا","","","",""
"Fuldmægtig","Senior administrative officer","","موظف إداري أول","","","",""
